tweet_id,dog_rating,rating_denominator,name,year,month,day,hour,stage,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
892420643555336193,13,10,Phineas,2017,8,1,16,None,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False,37748,8226
892177421306343426,13,10,Tilly,2017,8,1,0,None,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,32430,6079
891815181378084864,12,10,Archie,2017,7,31,0,None,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,24427,4023
891689557279858688,13,10,Darla,2017,7,30,15,None,Paper Towel,0.17027799999999998,False,Labrador Retriever,0.168086,True,Spatula,0.0408359,False,41085,8379
891327558926688256,12,10,Franklin,2017,7,29,16,None,Basset,0.555712,True,English Springer,0.22577,True,German Short-Haired Pointer,0.175219,True,39281,9082
891087950875897856,13,10,None,2017,7,29,0,None,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.07690219999999999,False,19755,3011
890971913173991426,13,10,Jax,2017,7,28,16,None,Appenzeller,0.34170300000000003,True,Border Collie,0.199287,True,Ice Lolly,0.193548,False,11550,1991
890729181411237888,13,10,None,2017,7,28,0,None,Pomeranian,0.566142,True,Eskimo Dog,0.17840599999999998,True,Pembroke,0.0765069,True,63687,18279
890609185150312448,13,10,Zoey,2017,7,27,16,None,Irish Terrier,0.487574,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True,27139,4137
890240255349198849,14,10,Cassie,2017,7,26,15,Doggo,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,31131,7145
890006608113172480,13,10,Koda,2017,7,26,0,None,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,29926,7102
889880896479866881,13,10,Bruno,2017,7,25,16,None,French Bulldog,0.377417,True,Labrador Retriever,0.151317,True,Muzzle,0.0829811,False,27132,4821
889665388333682689,13,10,None,2017,7,25,1,Puppo,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True,46904,9729
889638837579907072,12,10,Ted,2017,7,25,0,None,French Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire Bullterrier,0.00149818,True,26464,4389
889531135344209921,13,10,Stuart,2017,7,24,17,Puppo,Golden Retriever,0.953442,True,Labrador Retriever,0.0138341,True,Redbone,0.00795775,True,14751,2181
889278841981685760,13,10,Oliver,2017,7,24,0,None,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,24622,5205
888917238123831296,12,10,Jim,2017,7,23,0,None,Golden Retriever,0.714719,True,Tibetan Mastiff,0.120184,True,Labrador Retriever,0.105506,True,28408,4366
888804989199671297,13,10,Zeke,2017,7,22,16,None,Golden Retriever,0.46976,True,Labrador Retriever,0.184172,True,English Setter,0.0734817,True,24937,4148
888554962724278272,13,10,Ralphus,2017,7,22,0,None,Siberian Husky,0.700377,True,Eskimo Dog,0.166511,True,Malamute,0.111411,True,19345,3428
888078434458587136,12,10,Gerald,2017,7,20,16,None,French Bulldog,0.995026,True,Pug,0.000931908,True,Bull Mastiff,0.000903211,True,21227,3381
887705289381826560,13,10,Jeffrey,2017,7,19,16,None,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True,29463,5219
887517139158093824,14,10,None,2017,7,19,3,None,Limousine,0.130432,False,Tow Truck,0.0291754,False,Shopping Cart,0.0263208,False,45128,11338
887473957103951883,13,10,Canela,2017,7,19,0,None,Pembroke,0.809197,True,Rhodesian Ridgeback,0.05495,True,Beagle,0.0389148,True,67263,17604
887343217045368832,13,10,None,2017,7,18,16,None,Mexican Hairless,0.330741,True,Sea Lion,0.275645,False,Weimaraner,0.134203,True,32843,10109
887101392804085760,12,10,None,2017,7,18,0,None,Samoyed,0.733942,True,Eskimo Dog,0.0350295,True,Staffordshire Bullterrier,0.029704700000000007,True,29826,5778
886983233522544640,13,10,Maya,2017,7,17,16,None,Chihuahua,0.793469,True,Toy Terrier,0.143528,True,Can Opener,0.0322529,False,34263,7528
886736880519319552,13,10,Mingus,2017,7,16,23,None,Kuvasz,0.309706,True,Great Pyrenees,0.186136,True,Dandie Dinmont,0.08634630000000001,True,11749,3169
886680336477933568,13,10,Derek,2017,7,16,20,None,Convertible,0.738995,False,Sports Car,0.139952,False,Car Wheel,0.0441727,False,21887,4325
886366144734445568,12,10,Roscoe,2017,7,15,23,Pupper,French Bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston Bull,7.55616e-05,True,20670,3103
886258384151887873,13,10,Waffles,2017,7,15,16,None,Pug,0.943575,True,Shower Cap,0.0252856,False,Siamese Cat,0.00284892,False,27309,6108
885984800019947520,12,10,Jimbo,2017,7,14,22,None,Blenheim Spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese Mountain Dog,0.00623915,True,31821,6560
885528943205470208,13,10,Maisey,2017,7,13,15,None,Pug,0.369275,True,Labrador Retriever,0.265835,True,Kuvasz,0.134697,True,35081,6230
885167619883638784,13,10,None,2017,7,12,16,None,Malamute,0.8124819999999999,True,Siberian Husky,0.0717125,True,Eskimo Dog,0.0557697,True,21371,4255
884925521741709313,12,10,Earl,2017,7,12,0,None,Italian Greyhound,0.259916,True,American Staffordshire Terrier,0.198451,True,Staffordshire Bullterrier,0.127725,True,75460,17698
884876753390489601,13,10,Lola,2017,7,11,20,None,Chow,0.822103,True,Norwich Terrier,0.106075,True,Norfolk Terrier,0.0373485,True,27227,5448
884562892145688576,13,10,Kevin,2017,7,11,0,None,Pug,0.5464060000000001,True,French Bulldog,0.404291,True,Brabancon Griffon,0.0440019,True,23690,4546
884441805382717440,14,10,None,2017,7,10,15,None,Pembroke,0.993225,True,Cardigan,0.00321648,True,Chihuahua,0.00208089,True,26347,5493
884162670584377345,12,10,Yogi,2017,7,9,21,Doggo,German Shepherd,0.707046,True,Malinois,0.199396,True,Norwegian Elkhound,0.0491476,True,19854,2891
883838122936631299,12,10,Noah,2017,7,9,0,None,Doberman,0.610946,True,Miniature Pinscher,0.299603,True,Kelpie,0.0630203,True,21353,3342
883482846933004288,5,10,Bella,2017,7,8,0,None,Golden Retriever,0.943082,True,Labrador Retriever,0.032409,True,Kuvasz,0.00550072,True,44776,9634
883360690899218434,13,10,Grizzwald,2017,7,7,16,Floofer,Chow,0.987997,True,Tibetan Mastiff,0.00709872,True,Newfoundland,0.00214033,True,22139,3596
883117836046086144,13,10,None,2017,7,7,0,None,Golden Retriever,0.949562,True,Labrador Retriever,0.045947900000000014,True,Kuvasz,0.00247094,True,36251,6470
882992080364220416,13,10,Rusty,2017,7,6,15,None,Eskimo Dog,0.466778,True,Siberian Husky,0.406044,True,Dingo,0.07341439999999999,False,23361,3807
882762694511734784,12,10,Gus,2017,7,6,0,Pupper,Labrador Retriever,0.85005,True,Chesapeake Bay Retriever,0.074257,True,Flat-Coated Retriever,0.015579399999999997,True,27604,4759
882627270321602560,13,10,Stanley,2017,7,5,15,None,Pembroke,0.542982,True,Chihuahua,0.251988,True,Cardigan,0.107699,True,27266,5911
882268110199369728,13,10,Alfy,2017,7,4,16,None,Golden Retriever,0.762211,True,Labrador Retriever,0.0989849,True,Cocker Spaniel,0.0171995,True,43842,11251
882045870035918850,13,10,Koko,2017,7,4,1,None,Web Site,0.949591,False,Dhole,0.0173258,False,Golden Retriever,0.00694063,True,28613,4810
881906580714921986,12,10,Rey,2017,7,3,16,None,Weimaraner,0.291539,True,Chesapeake Bay Retriever,0.278966,True,Koala,0.12701700000000002,False,23731,3299
881666595344535552,13,10,Gary,2017,7,3,0,None,Saluki,0.529012,True,Afghan Hound,0.25000300000000003,True,Golden Retriever,0.16073900000000002,True,49362,10369
881536004380872706,14,10,None,2017,7,2,15,Pupper,Samoyed,0.281463,True,Angora,0.272066,False,Persian Cat,0.114854,False,48217,15502
881268444196462592,12,10,Elliot,2017,7,1,21,None,Tusker,0.473303,False,Indian Elephant,0.245646,False,Ibex,0.0556607,False,22553,5032
880935762899988482,13,10,Louis,2017,6,30,23,None,Street Sign,0.251801,False,Umbrella,0.115123,False,Traffic Light,0.0695338,False,16641,2705
880872448815771648,12,10,None,2017,6,30,19,None,Pembroke,0.791416,True,Norwich Terrier,0.0613929,True,Chihuahua,0.0337257,True,20749,3717
880465832366813184,12,10,Bella,2017,6,29,16,None,Golden Retriever,0.913255,True,Labrador Retriever,0.0263286,True,Cocker Spaniel,0.00937082,True,27838,6101
880221127280381952,12,10,Jesse,2017,6,29,0,None,Chihuahua,0.238525,True,Meerkat,0.104256,False,Clumber,0.0525803,True,26358,4097
880095782870896641,11,10,None,2017,6,28,16,None,Miniature Pinscher,0.120298,True,Rhodesian Ridgeback,0.106395,True,Beagle,0.106073,True,26953,4217
